,Id,MSSubClass,MSZoning,Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,Foundation,BsmtQual,BsmtFinType1,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,SalePrice,OverallCond_bin,FullBath_bin,ExterQual_bin,KitchenQual_bin
0,142,20,RL,CollgCr,1Story,7,2005,2005,VinylSd,VinylSd,None,PConc,Gd,GLQ,1734,7,0,Attchd,Fin,2,660,260000,1,1,0,0
1,170,20,RL,Timber,1Story,8,1981,1981,Plywood,Plywood,BrkFace,CBlock,Gd,Unf,1707,6,1,Attchd,RFn,2,511,228000,0,1,0,1
2,303,20,RL,CollgCr,1Story,7,2001,2002,VinylSd,VinylSd,BrkFace,PConc,Gd,Unf,1541,6,1,Attchd,RFn,3,843,205000,1,1,0,0
3,371,60,RL,Gilbert,2Story,6,2000,2000,VinylSd,VinylSd,None,PConc,Gd,Unf,1664,7,1,Attchd,RFn,2,460,172400,1,1,1,1
4,412,190,RL,Gilbert,1Story,5,1955,1955,Wd Sdng,Wd Sdng,None,CBlock,TA,Rec,1056,5,0,Attchd,Fin,2,572,145000,1,0,1,1
5,665,20,RL,Somerst,1Story,8,2005,2006,VinylSd,VinylSd,None,PConc,Ex,GLQ,2097,8,1,Attchd,Fin,3,1134,423000,1,0,0,0
6,811,20,RL,NWAmes,1Story,6,1974,1999,HdBoard,HdBoard,BrkFace,CBlock,TA,ALQ,1309,5,1,Attchd,RFn,2,484,181000,0,0,1,0
7,997,20,RL,NAmes,1Story,5,1961,1961,Wd Sdng,Wd Sdng,None,CBlock,TA,Rec,1050,6,0,Attchd,Unf,1,368,136500,0,0,1,1
8,1041,20,RL,Sawyer,1Story,5,1957,2000,Wd Sdng,Wd Sdng,BrkCmn,CBlock,TA,Rec,1803,8,1,Attchd,RFn,2,484,155000,0,1,1,1
9,1405,50,RL,OldTown,1.5Fin,3,1915,1950,Wd Sdng,Wd Sdng,None,PConc,TA,Unf,1214,6,0,Detchd,Unf,3,936,105000,0,0,1,1
10,4,70,RL,Crawfor,2Story,7,1915,1970,Wd Sdng,Wd Shng,None,BrkTil,TA,ALQ,1717,7,1,Detchd,Unf,3,642,140000,1,0,1,0
11,223,60,RL,NWAmes,2Story,6,1975,1975,VinylSd,VinylSd,None,CBlock,Gd,ALQ,1552,6,1,Attchd,RFn,2,434,179900,0,1,1,1
12,256,60,RL,Gilbert,2Story,7,1999,1999,VinylSd,VinylSd,BrkFace,PConc,Gd,Unf,2291,8,1,BuiltIn,Fin,2,429,230000,1,1,0,0
13,546,50,RL,NWAmes,1.5Fin,7,1988,1988,HdBoard,HdBoard,BrkFace,PConc,Gd,GLQ,2183,9,0,Attchd,Unf,3,786,229000,1,1,0,0
14,603,60,RL,SawyerW,2Story,8,1992,1992,HdBoard,HdBoard,None,PConc,Gd,GLQ,1915,8,1,Attchd,Fin,2,506,220000,1,1,0,0
15,893,20,RL,Sawyer,1Story,6,1963,2003,HdBoard,HdBoard,None,CBlock,TA,GLQ,1068,6,0,Attchd,RFn,1,264,154500,0,0,1,1
16,949,60,RL,CollgCr,2Story,7,2002,2002,VinylSd,VinylSd,BrkFace,PConc,Gd,Unf,1776,7,1,Attchd,RFn,2,474,192500,1,1,0,0
17,1034,20,RL,CollgCr,1Story,7,2002,2002,VinylSd,VinylSd,Stone,PConc,Gd,GLQ,1654,6,0,Attchd,Unf,3,900,230000,1,1,0,0
18,1168,60,RL,Gilbert,2Story,6,2000,2000,VinylSd,VinylSd,None,PConc,Gd,GLQ,1671,7,1,Attchd,Fin,2,472,173000,1,1,1,1
19,82,120,RM,Mitchel,1Story,6,1998,1998,VinylSd,VinylSd,BrkFace,PConc,Ex,GLQ,1337,5,0,Attchd,Fin,2,405,153500,1,1,1,1
20,155,30,RM,OldTown,1Story,6,1923,1950,Wd Sdng,Wd Sdng,None,BrkTil,TA,Unf,1200,7,0,Detchd,Unf,1,312,125000,1,0,1,1
21,160,60,RL,Gilbert,2Story,7,2005,2006,VinylSd,VinylSd,BrkFace,PConc,Gd,GLQ,2462,9,1,Attchd,RFn,2,576,320000,1,1,0,0
22,198,75,RL,NAmes,2Story,8,1918,1990,Stucco,Stucco,None,PConc,TA,GLQ,3112,8,1,Detchd,Unf,2,795,235000,0,1,0,0
23,220,120,RL,Blmngtn,1Story,7,2005,2006,VinylSd,VinylSd,BrkFace,PConc,Gd,GLQ,1248,5,0,Attchd,Fin,2,438,167240,1,1,0,0
24,294,60,RL,NWAmes,2Story,7,1977,1994,Plywood,Plywood,BrkFace,CBlock,TA,ALQ,2263,9,1,Attchd,Fin,2,539,235000,0,1,1,0
25,296,80,RL,Mitchel,SLvl,6,1984,1984,HdBoard,HdBoard,None,CBlock,TA,GLQ,1003,6,0,Detchd,Unf,2,588,142500,0,0,1,1
26,417,60,RL,Sawyer,2Story,6,1978,1978,HdBoard,HdBoard,BrkFace,CBlock,TA,ALQ,1400,6,1,Attchd,Fin,2,440,149500,0,0,1,1
27,481,20,RL,NridgHt,1Story,9,2004,2005,VinylSd,VinylSd,BrkFace,PConc,Ex,GLQ,1850,8,1,Attchd,Fin,3,772,326000,1,1,0,0
28,512,120,RL,NridgHt,1Story,7,2005,2006,VinylSd,VinylSd,Stone,PConc,Gd,Unf,1368,6,1,Attchd,RFn,2,474,202665,1,1,0,0
